subnational1,year,extent_2000_ha,loss_ha,loss_rate_%,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,emission_Mg_CO2e,emission_estimated_CO2e,carbon_loss_MgC
Aceh,2001,4984708,18278,0.36668145857289935,653101544,544,10781164,36491661.44,9943232
Aceh,2002,4984708,10952,0.21971196708011784,653101544,544,6627106,21865448.96,5957888
Aceh,2003,4984708,11816,0.23704497836182178,653101544,544,8026562,23590407.68,6427904
Aceh,2004,4984708,19138,0.38393422443200287,653101544,544,11548791,38208634.24,10411072
Aceh,2005,4984708,26479,0.5312046362595362,653101544,544,17345183,52864793.92,14404576
Aceh,2006,4984708,21284,0.42698589365716105,653101544,544,13845766,42493080.32,11578496
Aceh,2007,4984708,24168,0.4848428433521081,653101544,544,15217238,48250928.64,13147392
Aceh,2008,4984708,36734,0.7369338384515202,653101544,544,24828757,73338696.32,19983296
Aceh,2009,4984708,69111,1.386460350335466,653101544,544,44802236,137978729.28,37596384
Aceh,2010,4984708,40757,0.8176406722319541,653101544,544,25634918,81370535.36,22171808
Aceh,2011,4984708,47485,0.9526134730459638,653101544,544,31277948,94802852.8,25831840
Aceh,2012,4984708,49396,0.9909507236933438,653101544,544,31813634,98618126.08,26871424
Aceh,2013,4984708,41390,0.8303395103584804,653101544,544,24213932,82634307.2,22516160
Aceh,2014,4984708,58555,1.174692680092796,653101544,544,36641364,116903886.39999999,31853920
Aceh,2015,4984708,33969,0.6814641900789374,653101544,544,20419815,67818429.12,18479136
Aceh,2016,4984708,50074,1.0045523228241253,653101544,544,29597570,99971739.52,27240256
Aceh,2017,4984708,45813,0.9190708863989625,653101544,544,26984846,91464738.24,24922272
Aceh,2018,4984708,46111,0.9250491703826984,653101544,544,27851704,92059689.28,25084384
Aceh,2019,4984708,28562,0.5729924400787367,653101544,544,17771125,57023461.76,15537728
Aceh,2020,4984708,30225,0.6063544745248869,653101544,544,18601460,60343608.0,16442400
Aceh,2021,4984708,31786,0.6376702506947248,653101544,544,18974147,63460113.28,17291584
Aceh,2022,4984708,29785,0.597527478038834,653101544,544,16989501,59465156.8,16203040
Aceh,2023,4984708,38983,0.7820518273086408,653101544,544,23348363,77828779.84,21206752
Aceh,2024,4984708,46071,0.9242467161566936,653101544,544,28174569,91979830.08,25062624
Bali,2001,365485,424,0.11601023297809761,39151857,491,260325,764035.28,208184
Bali,2002,365485,311,0.08509241145327441,39151857,491,190618,560412.67,152701
Bali,2003,365485,179,0.04897601816764025,39151857,491,117400,322552.63,87889
Bali,2004,365485,370,0.10123534481579272,39151857,491,219024,666728.9,181670
Bali,2005,365485,236,0.0645717334500732,39151857,491,148261,425264.92,115876
Bali,2006,365485,515,0.14090865562198177,39151857,491,321987,928014.5499999999,252865
Bali,2007,365485,504,0.13789895618151224,39151857,491,315182,908192.88,247464
Bali,2008,365485,229,0.06265647016977441,39151857,491,146969,412651.13,112439
Bali,2009,365485,377,0.1031506080960915,39151857,491,232894,679342.69,185107
Bali,2010,365485,198,0.054174589928451235,39151857,491,125464,356790.06,97218
Bali,2011,365485,216,0.05909955264921953,39151857,491,133383,389225.52,106056
Bali,2012,365485,743,0.20329151675171347,39151857,491,452548,1338863.71,364813
Bali,2013,365485,396,0.10834917985690247,39151857,491,204263,713580.12,194436
Bali,2014,365485,907,0.2481633993187135,39151857,491,508923,1634386.79,445337
Bali,2015,365485,133,0.036390002325676844,39151857,491,76643,239662.01,65303
Bali,2016,365485,156,0.04268301024665855,39151857,491,96433,281107.32,76596
Bali,2017,365485,263,0.07195917753122563,39151857,491,155514,473918.11,129133
Bali,2018,365485,302,0.08262993009289027,39151857,491,161045,544194.94,148282
Bali,2019,365485,706,0.1931679822701342,39151857,491,429538,1272190.82,346646
Bali,2020,365485,165,0.0451454916070427,39151857,491,109182,297325.05,81015
Bali,2021,365485,199,0.05444819896849392,39151857,491,124862,358592.02999999997,97709
Bali,2022,365485,262,0.07168556849118295,39151857,491,168103,472116.14,128642
Bali,2023,365485,558,0.15267384434381714,39151857,491,365681,1005499.26,273978
Bali,2024,365485,168,0.045966318727170746,39151857,491,110329,302730.96,82488
Bangka Belitung,2001,1332845,13910,1.0436322303043488,106312312,283,7005063,14447065.1,3936530
Bangka Belitung,2002,1332845,11247,0.843834054222359,106312312,283,5562797,11681246.67,3182901
Bangka Belitung,2003,1332845,7124,0.5344957590717601,106312312,283,3487235,7399057.64,2016092
Bangka Belitung,2004,1332845,21976,1.648803874419006,106312312,283,11477498,22824493.36,6219208
Bangka Belitung,2005,1332845,19839,1.4884701521932406,106312312,283,10079529,20604983.79,5614437
Bangka Belitung,2006,1332845,20241,1.5186311986765153,106312312,283,10751927,21022505.009999998,5728203
Bangka Belitung,2007,1332845,23237,1.7434135252036058,106312312,283,12008264,24134180.57,6576071
Bangka Belitung,2008,1332845,22678,1.701473164546515,106312312,283,11226378,23553597.58,6417874
Bangka Belitung,2009,1332845,63896,4.793955786306735,106312312,283,33402713,66363024.56,18082568
Bangka Belitung,2010,1332845,23187,1.7396621512629,106312312,283,12361376,24082250.07,6561921
Bangka Belitung,2011,1332845,32400,2.4308903135773474,106312312,283,16964282,33650964.0,9169200
Bangka Belitung,2012,1332845,39451,2.959909066695677,106312312,283,21360184,40974203.11,11164633
Bangka Belitung,2013,1332845,17575,1.318607940158083,106312312,283,9630177,18253570.75,4973725
Bangka Belitung,2014,1332845,41246,3.094583391167015,106312312,283,22150159,42838508.06,11672618
Bangka Belitung,2015,1332845,41281,3.097209352925509,106312312,283,22577478,42874859.41,11682523
Bangka Belitung,2016,1332845,58203,4.366824349417974,106312312,283,36821355,60450217.83,16471449
Bangka Belitung,2017,1332845,25558,1.9175523035311683,106312312,283,12950327,26544794.38,7232914
Bangka Belitung,2018,1332845,22426,1.682566239885358,106312312,283,10287578,23291867.86,6346558
Bangka Belitung,2019,1332845,25529,1.915376506645559,106312312,283,10721349,26514674.69,7224707
Bangka Belitung,2020,1332845,24628,1.8477767482340406,106312312,283,12029032,25578887.08,6969724
Bangka Belitung,2021,1332845,31006,2.3263020081104706,106312312,283,15885973,32203141.66,8774698
Bangka Belitung,2022,1332845,34052,2.5548357085782665,106312312,283,16706101,35366747.72,9636716
Bangka Belitung,2023,1332845,50388,3.7804846024856604,106312312,283,24505926,52333480.68,14259804
Bangka Belitung,2024,1332845,31059,2.330278464487619,106312312,283,15367547,32258187.99,8789697
Banten,2001,561723,1054,0.18763696697482568,56287349,513,618476,1984376.3399999999,540702
Banten,2002,561723,1761,0.31349971427198103,56287349,513,1042788,3315452.31,903393
Banten,2003,561723,293,0.052160940534747555,56287349,513,164982,551634.03,150309
Banten,2004,561723,1404,0.2499452577159917,56287349,513,827685,2643324.84,720252
Banten,2005,561723,545,0.09702290986838709,56287349,513,311460,1026076.95,279585
Banten,2006,561723,1938,0.3450099070182278,56287349,513,1089522,3648691.98,994194
Banten,2007,561723,1060,0.1887051091018171,56287349,513,605411,1995672.5999999999,543780
Banten,2008,561723,930,0.1655620296836697,56287349,513,562003,1750920.3,477090
Banten,2009,561723,2754,0.4902772362890606,56287349,513,1701980,5184983.34,1412802
Banten,2010,561723,1633,0.2907126822294975,56287349,513,983311,3074465.43,837729
Banten,2011,561723,2329,0.4146171689605019,56287349,513,1374312,4384831.59,1194777
Banten,2012,561723,3286,0.584985838215633,56287349,513,2150205,6186585.06,1685718
Banten,2013,561723,1830,0.3257833487323823,56287349,513,1100213,3445359.3,938790
Banten,2014,561723,2275,0.4050038898175791,56287349,513,1390639,4283165.25,1167075
Banten,2015,561723,2663,0.4740770806963574,56287349,513,1638703,5013656.7299999995,1366119
Banten,2016,561723,1969,0.35052864134101686,56287349,513,1155343,3707055.9899999998,1010097
Banten,2017,561723,3495,0.6221927889725006,56287349,513,2099270,6580071.45,1792935
Banten,2018,561723,3401,0.6054585623163018,56287349,513,2117123,6403096.71,1744713
Banten,2019,561723,4715,0.8393816881274222,56287349,513,2857726,8876977.65,2418795
Banten,2020,561723,2042,0.3635243705527457,56287349,513,1271610,3844493.82,1047546
Banten,2021,561723,1915,0.3409153621980941,56287349,513,1181129,3605389.65,982395
Banten,2022,561723,1546,0.2752246213881219,56287349,513,929614,2910669.66,793098
Banten,2023,561723,3744,0.6665206872426446,56287349,513,2388259,7048866.24,1920672
