subnational1,year,loss_ha,emission_CO2e,source
Aceh,2001,18278.0,36491661.44,historical
Aceh,2002,10952.0,21865448.96,historical
Aceh,2003,11816.0,23590407.68,historical
Aceh,2004,19138.0,38208634.24,historical
Aceh,2005,26479.0,52864793.92,historical
Aceh,2006,21284.0,42493080.32,historical
Aceh,2007,24168.0,48250928.64,historical
Aceh,2008,36734.0,73338696.32,historical
Aceh,2009,69111.0,137978729.28,historical
Aceh,2010,40757.0,81370535.36,historical
Aceh,2011,47485.0,94802852.8,historical
Aceh,2012,49396.0,98618126.08,historical
Aceh,2013,41390.0,82634307.2,historical
Aceh,2014,58555.0,116903886.4,historical
Aceh,2015,33969.0,67818429.12,historical
Aceh,2016,50074.0,99971739.52,historical
Aceh,2017,45813.0,91464738.24,historical
Aceh,2018,46111.0,92059689.28,historical
Aceh,2019,28562.0,57023461.76,historical
Aceh,2020,30225.0,60343608.0,historical
Aceh,2021,31786.0,63460113.28,historical
Aceh,2022,29785.0,59465156.8,historical
Aceh,2023,38983.0,77828779.84,historical
Aceh,2024,46071.0,91979830.08,historical
Aceh,2025,43713.67,87273471.625,forecast
Aceh,2026,44832.484,89507158.405,forecast
Aceh,2027,43815.68,87477128.1825,forecast
Aceh,2028,43855.984,87557595.685,forecast
Aceh,2029,45440.547,90721143.025,forecast
Aceh,2030,41828.312,83509389.34,forecast
Bali,2001,424.0,764035.28,historical
Bali,2002,311.0,560412.67,historical
Bali,2003,179.0,322552.63,historical
Bali,2004,370.0,666728.9,historical
Bali,2005,236.0,425264.92,historical
Bali,2006,515.0,928014.55,historical
Bali,2007,504.0,908192.88,historical
Bali,2008,229.0,412651.13,historical
Bali,2009,377.0,679342.69,historical
Bali,2010,198.0,356790.06,historical
Bali,2011,216.0,389225.52,historical
Bali,2012,743.0,1338863.71,historical
Bali,2013,396.0,713580.12,historical
Bali,2014,907.0,1634386.79,historical
Bali,2015,133.0,239662.01,historical
Bali,2016,156.0,281107.32,historical
Bali,2017,263.0,473918.11,historical
Bali,2018,302.0,544194.94,historical
Bali,2019,706.0,1272190.82,historical
Bali,2020,165.0,297325.05,historical
Bali,2021,199.0,358592.03,historical
Bali,2022,262.0,472116.14,historical
Bali,2023,558.0,1005499.26,historical
Bali,2024,168.0,302730.96,historical
Bali,2025,215.65999,388612.8293031311,forecast
Bali,2026,212.13272,382256.7991653442,forecast
Bali,2027,212.51602,382947.4956741333,forecast
Bali,2028,210.9392,380106.09891769406,forecast
Bali,2029,214.68785,386861.0667802429,forecast
Bali,2030,200.11711,360605.0308799744,forecast
Bangka Belitung,2001,13910.0,14447065.1,historical
Bangka Belitung,2002,11247.0,11681246.67,historical
Bangka Belitung,2003,7124.0,7399057.64,historical
Bangka Belitung,2004,21976.0,22824493.36,historical
Bangka Belitung,2005,19839.0,20604983.79,historical
Bangka Belitung,2006,20241.0,21022505.01,historical
Bangka Belitung,2007,23237.0,24134180.57,historical
Bangka Belitung,2008,22678.0,23553597.58,historical
Bangka Belitung,2009,63896.0,66363024.56,historical
Bangka Belitung,2010,23187.0,24082250.07,historical
Bangka Belitung,2011,32400.0,33650964.0,historical
Bangka Belitung,2012,39451.0,40974203.11,historical
Bangka Belitung,2013,17575.0,18253570.75,historical
Bangka Belitung,2014,41246.0,42838508.06,historical
Bangka Belitung,2015,41281.0,42874859.41,historical
Bangka Belitung,2016,58203.0,60450217.83,historical
Bangka Belitung,2017,25558.0,26544794.38,historical
Bangka Belitung,2018,22426.0,23291867.86,historical
Bangka Belitung,2019,25529.0,26514674.69,historical
Bangka Belitung,2020,24628.0,25578887.08,historical
Bangka Belitung,2021,31006.0,32203141.66,historical
Bangka Belitung,2022,34052.0,35366747.72,historical
Bangka Belitung,2023,50388.0,52333480.68,historical
Bangka Belitung,2024,31059.0,32258187.99,historical
Bangka Belitung,2025,33783.625,35088010.76125,forecast
Bangka Belitung,2026,33574.11,34870405.73796875,forecast
Bangka Belitung,2027,32861.12,34129888.97917969,forecast
Bangka Belitung,2028,33183.645,34464865.04660156,forecast
Bangka Belitung,2029,34379.926,35707334.71566406,forecast
Bangka Belitung,2030,30739.078,31925913.93140625,forecast
Banten,2001,1054.0,1984376.34,historical
Banten,2002,1761.0,3315452.31,historical
Banten,2003,293.0,551634.03,historical
Banten,2004,1404.0,2643324.84,historical
Banten,2005,545.0,1026076.95,historical
Banten,2006,1938.0,3648691.98,historical
Banten,2007,1060.0,1995672.6,historical
Banten,2008,930.0,1750920.3,historical
Banten,2009,2754.0,5184983.34,historical
Banten,2010,1633.0,3074465.43,historical
Banten,2011,2329.0,4384831.59,historical
Banten,2012,3286.0,6186585.06,historical
Banten,2013,1830.0,3445359.3,historical
Banten,2014,2275.0,4283165.25,historical
Banten,2015,2663.0,5013656.73,historical
Banten,2016,1969.0,3707055.99,historical
Banten,2017,3495.0,6580071.45,historical
Banten,2018,3401.0,6403096.71,historical
Banten,2019,4715.0,8876977.65,historical
Banten,2020,2042.0,3844493.82,historical
Banten,2021,1915.0,3605389.65,historical
Banten,2022,1546.0,2910669.66,historical
Banten,2023,3744.0,7048866.24,historical
Banten,2024,3256.0,6130103.76,historical
Banten,2025,2134.1572,4017999.152021485,forecast
Banten,2026,2268.049,4270078.668845215,forecast
Banten,2027,2260.0923,4255098.346186523,forecast
Banten,2028,2253.067,4241871.57300293,forecast
Banten,2029,2296.5952,4323822.776938477,forecast
Banten,2030,2149.6746,4047213.791887207,forecast
Bengkulu,2001,14198.0,26001223.34,historical
Bengkulu,2002,10421.0,19084289.93,historical
Bengkulu,2003,8104.0,14841098.32,historical
Bengkulu,2004,25985.0,47587110.05,historical
Bengkulu,2005,13142.0,24067338.86,historical
