subnational1,year,extent_2000_ha,loss_ha,loss_rate_%,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,emission_Mg_CO2e,emission_estimated_CO2e,carbon_loss_MgC,source,predicted_loss_ha,predicted_loss_rate_%,predicted_emission_CO2e,emission_CO2e
Aceh,2001,4984708,18278.0,0.3666814585728993,653101544.0,544,10781164.0,36491661.44,9943232.0,historical,,,,36491661.44
Aceh,2002,4984708,10952.0,0.2197119670801178,653101544.0,544,6627106.0,21865448.96,5957888.0,historical,,,,21865448.96
Aceh,2003,4984708,11816.0,0.2370449783618217,653101544.0,544,8026562.0,23590407.68,6427904.0,historical,,,,23590407.68
Aceh,2004,4984708,19138.0,0.3839342244320028,653101544.0,544,11548791.0,38208634.24,10411072.0,historical,,,,38208634.24
Aceh,2005,4984708,26479.0,0.5312046362595362,653101544.0,544,17345183.0,52864793.92,14404576.0,historical,,,,52864793.92
Aceh,2006,4984708,21284.0,0.426985893657161,653101544.0,544,13845766.0,42493080.32,11578496.0,historical,,,,42493080.32
Aceh,2007,4984708,24168.0,0.4848428433521081,653101544.0,544,15217238.0,48250928.64,13147392.0,historical,,,,48250928.64
Aceh,2008,4984708,36734.0,0.7369338384515202,653101544.0,544,24828757.0,73338696.32,19983296.0,historical,,,,73338696.32
Aceh,2009,4984708,69111.0,1.386460350335466,653101544.0,544,44802236.0,137978729.28,37596384.0,historical,,,,137978729.28
Aceh,2010,4984708,40757.0,0.8176406722319541,653101544.0,544,25634918.0,81370535.36,22171808.0,historical,,,,81370535.36
Aceh,2011,4984708,47485.0,0.9526134730459638,653101544.0,544,31277948.0,94802852.8,25831840.0,historical,,,,94802852.8
Aceh,2012,4984708,49396.0,0.9909507236933438,653101544.0,544,31813634.0,98618126.08,26871424.0,historical,,,,98618126.08
Aceh,2013,4984708,41390.0,0.8303395103584804,653101544.0,544,24213932.0,82634307.2,22516160.0,historical,,,,82634307.2
Aceh,2014,4984708,58555.0,1.174692680092796,653101544.0,544,36641364.0,116903886.4,31853920.0,historical,,,,116903886.4
Aceh,2015,4984708,33969.0,0.6814641900789374,653101544.0,544,20419815.0,67818429.12,18479136.0,historical,,,,67818429.12
Aceh,2016,4984708,50074.0,1.004552322824125,653101544.0,544,29597570.0,99971739.52,27240256.0,historical,,,,99971739.52
Aceh,2017,4984708,45813.0,0.9190708863989624,653101544.0,544,26984846.0,91464738.24,24922272.0,historical,,,,91464738.24
Aceh,2018,4984708,46111.0,0.9250491703826984,653101544.0,544,27851704.0,92059689.28,25084384.0,historical,,,,92059689.28
Aceh,2019,4984708,28562.0,0.5729924400787367,653101544.0,544,17771125.0,57023461.76,15537728.0,historical,,,,57023461.76
Aceh,2020,4984708,30225.0,0.6063544745248869,653101544.0,544,18601460.0,60343608.0,16442400.0,historical,,,,60343608.0
Aceh,2021,4984708,31786.0,0.6376702506947248,653101544.0,544,18974147.0,63460113.28,17291584.0,historical,,,,63460113.28
Aceh,2022,4984708,29785.0,0.597527478038834,653101544.0,544,16989501.0,59465156.8,16203040.0,historical,,,,59465156.8
Aceh,2023,4984708,38983.0,0.7820518273086408,653101544.0,544,23348363.0,77828779.84,21206752.0,historical,,,,77828779.84
Aceh,2024,4984708,46071.0,0.9242467161566936,653101544.0,544,28174569.0,91979830.08,25062624.0,historical,,,,91979830.08
Bali,2001,365485,424.0,0.1160102329780976,39151857.0,491,260325.0,764035.28,208184.0,historical,,,,764035.28
Bali,2002,365485,311.0,0.0850924114532744,39151857.0,491,190618.0,560412.67,152701.0,historical,,,,560412.67
Bali,2003,365485,179.0,0.0489760181676402,39151857.0,491,117400.0,322552.63,87889.0,historical,,,,322552.63
Bali,2004,365485,370.0,0.1012353448157927,39151857.0,491,219024.0,666728.9,181670.0,historical,,,,666728.9
Bali,2005,365485,236.0,0.0645717334500732,39151857.0,491,148261.0,425264.92,115876.0,historical,,,,425264.92
Bali,2006,365485,515.0,0.1409086556219817,39151857.0,491,321987.0,928014.55,252865.0,historical,,,,928014.55
Bali,2007,365485,504.0,0.1378989561815122,39151857.0,491,315182.0,908192.88,247464.0,historical,,,,908192.88
Bali,2008,365485,229.0,0.0626564701697744,39151857.0,491,146969.0,412651.13,112439.0,historical,,,,412651.13
Bali,2009,365485,377.0,0.1031506080960915,39151857.0,491,232894.0,679342.69,185107.0,historical,,,,679342.69
Bali,2010,365485,198.0,0.0541745899284512,39151857.0,491,125464.0,356790.06,97218.0,historical,,,,356790.06
Bali,2011,365485,216.0,0.0590995526492195,39151857.0,491,133383.0,389225.52,106056.0,historical,,,,389225.52
Bali,2012,365485,743.0,0.2032915167517134,39151857.0,491,452548.0,1338863.71,364813.0,historical,,,,1338863.71
Bali,2013,365485,396.0,0.1083491798569024,39151857.0,491,204263.0,713580.12,194436.0,historical,,,,713580.12
Bali,2014,365485,907.0,0.2481633993187135,39151857.0,491,508923.0,1634386.79,445337.0,historical,,,,1634386.79
Bali,2015,365485,133.0,0.0363900023256768,39151857.0,491,76643.0,239662.01,65303.0,historical,,,,239662.01
Bali,2016,365485,156.0,0.0426830102466585,39151857.0,491,96433.0,281107.32,76596.0,historical,,,,281107.32
Bali,2017,365485,263.0,0.0719591775312256,39151857.0,491,155514.0,473918.11,129133.0,historical,,,,473918.11
Bali,2018,365485,302.0,0.0826299300928902,39151857.0,491,161045.0,544194.94,148282.0,historical,,,,544194.94
Bali,2019,365485,706.0,0.1931679822701342,39151857.0,491,429538.0,1272190.82,346646.0,historical,,,,1272190.82
Bali,2020,365485,165.0,0.0451454916070427,39151857.0,491,109182.0,297325.05,81015.0,historical,,,,297325.05
Bali,2021,365485,199.0,0.0544481989684939,39151857.0,491,124862.0,358592.03,97709.0,historical,,,,358592.03
Bali,2022,365485,262.0,0.0716855684911829,39151857.0,491,168103.0,472116.14,128642.0,historical,,,,472116.14
Bali,2023,365485,558.0,0.1526738443438171,39151857.0,491,365681.0,1005499.26,273978.0,historical,,,,1005499.26
Bali,2024,365485,168.0,0.0459663187271707,39151857.0,491,110329.0,302730.96,82488.0,historical,,,,302730.96
Bangka Belitung,2001,1332845,13910.0,1.0436322303043488,106312312.0,283,7005063.0,14447065.1,3936530.0,historical,,,,14447065.1
Bangka Belitung,2002,1332845,11247.0,0.843834054222359,106312312.0,283,5562797.0,11681246.67,3182901.0,historical,,,,11681246.67
Bangka Belitung,2003,1332845,7124.0,0.5344957590717601,106312312.0,283,3487235.0,7399057.64,2016092.0,historical,,,,7399057.64
Bangka Belitung,2004,1332845,21976.0,1.648803874419006,106312312.0,283,11477498.0,22824493.36,6219208.0,historical,,,,22824493.36
Bangka Belitung,2005,1332845,19839.0,1.4884701521932406,106312312.0,283,10079529.0,20604983.79,5614437.0,historical,,,,20604983.79
Bangka Belitung,2006,1332845,20241.0,1.5186311986765153,106312312.0,283,10751927.0,21022505.01,5728203.0,historical,,,,21022505.01
Bangka Belitung,2007,1332845,23237.0,1.7434135252036058,106312312.0,283,12008264.0,24134180.57,6576071.0,historical,,,,24134180.57
Bangka Belitung,2008,1332845,22678.0,1.701473164546515,106312312.0,283,11226378.0,23553597.58,6417874.0,historical,,,,23553597.58
Bangka Belitung,2009,1332845,63896.0,4.793955786306735,106312312.0,283,33402713.0,66363024.56,18082568.0,historical,,,,66363024.56
Bangka Belitung,2010,1332845,23187.0,1.7396621512629,106312312.0,283,12361376.0,24082250.07,6561921.0,historical,,,,24082250.07
Bangka Belitung,2011,1332845,32400.0,2.4308903135773474,106312312.0,283,16964282.0,33650964.0,9169200.0,historical,,,,33650964.0
Bangka Belitung,2012,1332845,39451.0,2.959909066695677,106312312.0,283,21360184.0,40974203.11,11164633.0,historical,,,,40974203.11
Bangka Belitung,2013,1332845,17575.0,1.318607940158083,106312312.0,283,9630177.0,18253570.75,4973725.0,historical,,,,18253570.75
Bangka Belitung,2014,1332845,41246.0,3.094583391167015,106312312.0,283,22150159.0,42838508.06,11672618.0,historical,,,,42838508.06
Bangka Belitung,2015,1332845,41281.0,3.097209352925509,106312312.0,283,22577478.0,42874859.41,11682523.0,historical,,,,42874859.41
Bangka Belitung,2016,1332845,58203.0,4.366824349417974,106312312.0,283,36821355.0,60450217.83,16471449.0,historical,,,,60450217.83
Bangka Belitung,2017,1332845,25558.0,1.9175523035311683,106312312.0,283,12950327.0,26544794.38,7232914.0,historical,,,,26544794.38
Bangka Belitung,2018,1332845,22426.0,1.682566239885358,106312312.0,283,10287578.0,23291867.86,6346558.0,historical,,,,23291867.86
Bangka Belitung,2019,1332845,25529.0,1.915376506645559,106312312.0,283,10721349.0,26514674.69,7224707.0,historical,,,,26514674.69
