subnational1,year,predicted_loss_ha,predicted_loss_rate_%,predicted_emission_CO2e
Aceh,2025,42503.81,0.8526840206838595,84858003.78125
Bali,2025,221.96638,0.06073200949086702,399976.7665760803
Bangka Belitung,2025,32575.205,2.4440355088644967,33832933.746191405
Banten,2025,2012.7314,0.35831387450976726,3789389.619404297
Bengkulu,2025,22235.959,1.2386340788978945,40721378.76685547
Gorontalo,2025,4052.6116,0.40408567200669504,6350807.068781738
Jakarta Raya,2025,-0.059343386,-0.004557863781986881,-19.601120541617274
Jambi,2025,101588.85,2.265492485645103,226681299.8225
Jawa Barat,2025,3738.4048,0.18625066810597152,6558133.978408203
Jawa Tengah,2025,2821.4812,0.1872221725329922,4814998.743859863
Jawa Timur,2025,4635.249,0.24178920783143684,7774193.309619141
Kalimantan Barat,2025,192832.5,1.4136866524212377,418955602.8
Kalimantan Selatan,2025,32136.32,1.1403913797441312,48355521.17421875
Kalimantan Tengah,2025,160163.75,1.1262575785564903,314473514.9375
Kalimantan Timur,2025,106684.3,0.9104279041484672,227088194.328125
Kalimantan Utara,2025,22170.758,0.32424357907777573,50203242.28304687
Kepulauan Riau,2025,2369.1987,0.3434716475497623,3460593.8176464844
Lampung,2025,14934.212,0.837527467923697,29706238.28673828
Maluku,2025,6116.9814,0.14748897736114486,12706316.197832031
Maluku Utara,2025,7411.3726,0.2411567052118516,16020645.263833007
Nusa Tenggara Barat,2025,3778.6716,0.3330141528648734,7835264.560168457
Nusa Tenggara Timur,2025,4863.032,0.21161384738937342,7638656.500195312
Papua,2025,24262.127,0.08205595858737391,52712867.5034375
Papua Barat,2025,11954.5205,0.12641641776610005,28254270.129804686
Riau,2025,124919.234,1.5915743683989774,205845661.98015624
Sulawesi Barat,2025,8023.2607,0.529985569521932,16577741.578115234
Sulawesi Selatan,2025,8726.756,0.2872446212746355,17967255.836191405
Sulawesi Tengah,2025,33406.934,0.5903295739809519,69148343.70703125
Sulawesi Tenggara,2025,18760.88,0.5929785551401494,37937690.44740234
Sulawesi Utara,2025,3043.121,0.23309861707090265,7348711.404453125
Sumatera Barat,2025,27597.094,0.7241862412166771,70187964.5053125
Sumatera Selatan,2025,131064.695,1.8623495784926078,200580099.05929688
Sumatera Utara,2025,67515.4,1.1671071581372032,141731025.0159375
Yogyakarta,2025,91.412766,0.06860502495623076,108361.60635482788
Aceh,2026,46744.75,0.9377630545259622,93324958.48
Bali,2026,220.73036,0.06039382243826054,397749.4903022766
Bangka Belitung,2026,33087.51,2.4824725844903197,34365020.54621094
Banten,2026,2138.6304,0.38072686557142044,4026420.785961914
Bengkulu,2026,26189.299,1.4588513161834338,47961248.62291016
Gorontalo,2026,4013.8997,0.4002257092321561,6290142.015373535
Jakarta Raya,2026,-0.01662142,-0.0012766067711164324,-5.4900550788268445
Jambi,2026,109847.695,2.449669668160361,245109753.4125
Jawa Barat,2026,4013.8997,0.19997606894230865,7041423.614399414
Jawa Tengah,2026,2757.633,0.1829854658250488,4706038.692810059
Jawa Timur,2026,5013.41,0.2615152851733538,8408441.379960937
Kalimantan Barat,2026,221688.38,1.6252337999790183,481649031.06
Kalimantan Selatan,2026,38281.996,1.3584771971459981,57602919.52226562
Kalimantan Tengah,2026,193828.86,1.362987703609924,380573273.9398437
Kalimantan Timur,2026,106321.29,0.9073300495287651,226315495.8984375
Kalimantan Utara,2026,24153.479,0.3532405336487373,54692895.215996094
Kepulauan Riau,2026,2008.7227,0.29121207577053554,2934060.835078125
Lampung,2026,16327.517,0.9156655681249724,32477716.37283203
Maluku,2026,6427.69,0.15498059373369466,13351726.10008789
Maluku Utara,2026,7817.6094,0.2543751382896338,16898778.95328125
Nusa Tenggara Barat,2026,3363.471,0.2964225361743162,6974325.182702636
Nusa Tenggara Timur,2026,4073.634,0.1772633473234757,6398701.39399414
Papua,2026,23846.834,0.08065141302913759,51810585.3878125
Papua Barat,2026,10577.296,0.11185257127282382,24999227.310039062
Riau,2026,131879.67,1.680256099225052,217315279.70578125
Sulawesi Barat,2026,7577.273,0.5005253410622585,15656237.140405273
Sulawesi Selatan,2026,6948.6396,0.22871722279764733,14306345.712978516
Sulawesi Tengah,2026,36280.543,0.641108751105092,75096370.28015625
Sulawesi Tenggara,2026,21460.69,0.678311893754516,43397162.39142578
Sulawesi Utara,2026,2810.0618,0.21524661415924873,6785905.760053711
Sumatera Barat,2026,27212.533,0.7140948359591348,69209907.82083984
Sumatera Selatan,2026,140916.7,2.0023406153860144,215657513.29546875
Sumatera Utara,2026,71919.61,1.2432406955236524,150976520.784375
Yogyakarta,2026,86.55583,0.06495990987217508,102604.1487034607
Aceh,2027,43706.46,0.8768108570752791,87259075.1325
Bali,2027,211.57591,0.057889082308599786,381253.44700363156
Bangka Belitung,2027,31080.023,2.33185579999925,32280023.142421875
Banten,2027,2071.158,0.36871517794079556,3899389.8009594725
Bengkulu,2027,26687.498,1.4866030551957998,48873615.79818359
Gorontalo,2027,3924.165,0.39127827540310234,6149519.791064453
Jakarta Raya,2027,-0.03891602,-0.0029889417500356744,-12.853961929678917
Jambi,2027,106161.2,2.3674586753130558,236883862.20499998
Jawa Barat,2027,4004.9194,0.19952866612496822,7025669.965576172
Jawa Tengah,2027,2613.2024,0.17340162642362625,4459560.543054199
Jawa Timur,2027,5200.8438,0.2712924125562971,8722803.1290625
Kalimantan Barat,2027,209755.4,1.5377512508981592,455722985.835
Kalimantan Selatan,2027,37435.098,1.328424108670025,56328591.443359375
Kalimantan Tengah,2027,182039.28,1.2800844142497219,357425026.7703125
Kalimantan Timur,2027,100115.86,0.8543738365694122,213106618.265625
Kalimantan Utara,2027,25146.865,0.3677686462112329,56942310.168066405
Kepulauan Riau,2027,1901.7744,0.27570738700201514,2777845.815644531
Lampung,2027,18625.404,1.0445337048638041,37048536.70308594
Maluku,2027,6323.811,0.152475928027385,13135946.758447265
Maluku Utara,2027,7580.844,0.24667109968831957,16386980.330795899
Nusa Tenggara Barat,2027,3098.759,0.2730934876550316,6425431.7932983395
Nusa Tenggara Timur,2027,3612.1633,0.15718254456581265,5673841.672353515
Papua,2027,23169.945,0.07836213522035572,50339949.98375
Papua Barat,2027,10073.146,0.1065213024107219,23807680.252890624
Riau,2027,130756.445,1.6659452637822623,215464393.27929688
Sulawesi Barat,2027,7201.8613,0.475727101518036,14880557.894785156
Sulawesi Selatan,2027,6292.3853,0.20711634979803933,12955203.22770996
Sulawesi Tengah,2027,34355.246,0.6070870806989748,71111236.78453125
Sulawesi Tenggara,2027,21462.328,0.6783636875529026,43400476.06453125
Sulawesi Utara,2027,2499.3079,0.19144332024990462,6035478.582006835
